Case ID,Case number,Registered,Days in court,Category,Topic,Court,Judge,Decision,PDF link,Plaintiff Name,Plaintiff INN,Plaintiff OKFS,Defendant Name,Defendant INN,Defendant OKFS,Third-party Name,Third-party INN,Third-party OKFS,Other Name,Other INN,Other OKFS
2fc8268b-6c04-48f5-94f8-f14b66a07d45,А77-1303/2019,12/25/2019,6,Administrative,"О взыскании в Пенсионный фонд обязат. платежей и санкций с организаций и граждан, если не предусмотрен иной порядок их взыскания",CHECHNYA,Хасиев М. С-А.,Выдать судебный приказ (ст.229.6 АПК),http://kad.arbitr.ru/Kad/PdfDocument/2fc8268b-6c04-48f5-94f8-f14b66a07d45/4762c12e-37b1-4a34-a1d8-0270bbbd332d/A77-1303-2019_20191230_Sudebnyj_prikaz.pdf,ГУ УПФР в г. Грозный и Грозненском муниципальном районе ЧР,2014025270,12,"ООО УК ""АРС-888""",2016003120,16,,,,,,
55d68738-82c5-4017-abb4-eeb50f892107,А77-1296/2019,12/25/2019,7,Administrative,"О взыскании в Пенсионный фонд обязат. платежей и санкций с организаций и граждан, если не предусмотрен иной порядок их взыскания",CHECHNYA,Ташухаджиев Р. Н-А.,Отказать в принятии заявления о выдаче судебного приказа (ч.3 ст.229.4 АПК),http://kad.arbitr.ru/Kad/PdfDocument/55d68738-82c5-4017-abb4-eeb50f892107/b3026741-8b49-4df3-90f9-50189ea9bbef/A77-1296-2019_20191231_Opredelenie.pdf,ГУ УПФР в г. Грозный Грозненском муниципальном районе ЧР,2014025270,12,"ООО ""Гидротехмаш""",6655004374,16,,,,,,
f4ef7a3b-31ff-4e30-bfca-4beefb9a6728,А77-1273/2019,12/25/2019,6,Administrative,"О взыскании в Пенсионный фонд обязат. платежей и санкций с организаций и граждан, если не предусмотрен иной порядок их взыскания",CHECHNYA,Ташухаджиев Р. Н-А.,Отказать в принятии заявления о выдаче судебного приказа (ч.3 ст.229.4 АПК),http://kad.arbitr.ru/Kad/PdfDocument/f4ef7a3b-31ff-4e30-bfca-4beefb9a6728/2f8270af-4d27-409c-87eb-30ef2daadf86/A77-1273-2019_20191230_Opredelenie.pdf,ГУ УПФР в г. Грозный Грозненском муниципальном районе ЧР,2014025270,12,"ООО ""Продюсерский центр им. Айнди Исаева ""Звездный путь""",2016004212,16,,,,,,
4c4daada-f5f8-409e-aef3-c72e2bbd91a0,А77-1298/2019,12/25/2019,7,Administrative,"О взыскании в Пенсионный фонд обязат. платежей и санкций с организаций и граждан, если не предусмотрен иной порядок их взыскания",CHECHNYA,Ташухаджиев Р. Н-А.,Отказать в принятии заявления о выдаче судебного приказа (ч.3 ст.229.4 АПК),http://kad.arbitr.ru/Kad/PdfDocument/4c4daada-f5f8-409e-aef3-c72e2bbd91a0/aefe4dd8-5bac-4979-9ece-39e96f3565cd/A77-1298-2019_20191231_Opredelenie.pdf,ГУ УПФР в г. Грозный Грозненском муниципальном районе ЧР,2014025270,12,"ЧРПОО ""Нийсо"" (справедливост)",2016001148,53,,,,,,
0b19ee88-d681-4751-82b2-d64aad428195,А77-1305/2019,12/25/2019,6,Administrative,"О взыскании в Пенсионный фонд обязат. платежей и санкций с организаций и граждан, если не предусмотрен иной порядок их взыскания",CHECHNYA,Хасиев М. С-А.,Выдать судебный приказ (ст.229.6 АПК),http://kad.arbitr.ru/Kad/PdfDocument/0b19ee88-d681-4751-82b2-d64aad428195/a0611676-b341-4ca9-9e69-27ad0ccdc150/A77-1305-2019_20191230_Sudebnyj_prikaz.pdf,ГУ УПФР в г. Грозный и Грозненском муниципальном районе ЧР,2014025270,12,"ООО ""ИМПЕРИЯ""",2016079306,16,,,,,,
7fafec36-3948-4220-827e-024e86c3df4d,А77-1318/2019,12/30/2019,59,Administrative,О привлечении к адм. ответ-ти за осуществление предприним. деятельности без гос. регистрации или без спец. разрешения (лицензии),CHECHNYA,Исмаилов Р. В.,Привлечь к административной ответственности (ч.2 ст.206 АПК РФ),http://kad.arbitr.ru/Kad/PdfDocument/7fafec36-3948-4220-827e-024e86c3df4d/ff8ea04e-1850-4560-b6b2-89c7a0d3915d/A77-1318-2019_20200226_Reshenie_v_vide_rezoljutivnoj_chasti_(st._229_APK).pdf,Территориальный орган Росздравнадзора по ЧР,2015040031,12,ИП Канаев Мовсар Саидахмедович,200500505213,16,,,,,,
2729dd78-935c-46a7-af61-992d37f0f734,А77-1307/2019,12/25/2019,6,Administrative,"О взыскании в Пенсионный фонд обязат. платежей и санкций с организаций и граждан, если не предусмотрен иной порядок их взыскания",CHECHNYA,Хасиев М. С-А.,Выдать судебный приказ (ст.229.6 АПК),http://kad.arbitr.ru/Kad/PdfDocument/2729dd78-935c-46a7-af61-992d37f0f734/0b00b233-4d11-45ce-a27f-21bbab2d8890/A77-1307-2019_20191230_Sudebnyj_prikaz.pdf,ГУ УПФР в г. Грозный и Грозненском муниципальном районе ЧР,2014025270,12,"МУП ""Управляющая компания общежитий г. Грозного""",2016003748,14,,,,,,
278da959-385c-4741-8f70-825be4dd77af,А77-1292/2019,12/25/2019,6,Administrative,"О взыскании в Пенсионный фонд обязат. платежей и санкций с организаций и граждан, если не предусмотрен иной порядок их взыскания",CHECHNYA,Ташухаджиев Р. Н-А.,Отказать в принятии заявления о выдаче судебного приказа (ч.3 ст.229.4 АПК),http://kad.arbitr.ru/Kad/PdfDocument/278da959-385c-4741-8f70-825be4dd77af/57dde0b4-78b4-4bb4-a2b6-b7fec3902b9d/A77-1292-2019_20191230_Opredelenie.pdf,ГУ УПФР в г. Грозный Грозненском муниципальном районе ЧР,2014025270,12,"ООО ""Строительно-Производственная Компания ""РОСТ""",2016001772,16,,,,,,
a00fdab6-7c93-45f1-a63b-b58eb597f016,А77-1287/2019,12/25/2019,6,Administrative,"О взыскании в Пенсионный фонд обязат. платежей и санкций с организаций и граждан, если не предусмотрен иной порядок их взыскания",CHECHNYA,Ташухаджиев Р. Н-А.,Отказать в принятии заявления о выдаче судебного приказа (ч.3 ст.229.4 АПК),http://kad.arbitr.ru/Kad/PdfDocument/a00fdab6-7c93-45f1-a63b-b58eb597f016/9deabd3a-5688-4ffd-8ec4-b446e048f9f7/A77-1287-2019_20191230_Opredelenie.pdf,ГУ УПФР в г. Грозный Грозненском муниципальном районе ЧР,2014025270,12,"ООО ""Юкард""",2031001784,16,,,,,,
faed894f-ce5b-4b80-a6ad-e8e873566d85,А77-1294/2019,12/25/2019,7,Administrative,"О взыскании в Пенсионный фонд обязат. платежей и санкций с организаций и граждан, если не предусмотрен иной порядок их взыскания",CHECHNYA,Ташухаджиев Р. Н-А.,Отказать в принятии заявления о выдаче судебного приказа (ч.3 ст.229.4 АПК),http://kad.arbitr.ru/Kad/PdfDocument/faed894f-ce5b-4b80-a6ad-e8e873566d85/622b1daa-dae3-42c6-90ba-7382922693a6/A77-1294-2019_20191231_Opredelenie.pdf,ГУ УПФР в г. Грозный Грозненском муниципальном районе ЧР,2014025270,12,"ООО ""Строительно-Производственная Компания ""РОСТ""",2016001772,16,,,,,,
